ISO3,Year,Month,Total,Domestic,International
ABW,2010,1,144.598,NA,144.598
ABW,2010,2,143.729,NA,143.729
ABW,2010,3,168.495,NA,168.495
ABW,2010,4,145.959,NA,145.959
ABW,2010,5,133.941,NA,133.941
ABW,2010,6,133.315,NA,133.315
ABW,2010,7,153.382,NA,153.382
ABW,2010,8,142.573,NA,142.573
ABW,2010,9,99.63,NA,99.63
ABW,2010,10,105.242,NA,105.242
ABW,2010,11,96.311,NA,96.311
ABW,2010,12,117.231,NA,117.231
AFG,2010,1,131.522,37.17,94.352
AFG,2010,2,125.004,35.794,89.21
AFG,2010,3,148.428,44.296,104.132
AFG,2010,4,136.682,38.547,98.135
AFG,2010,5,144.232,46.861,97.371
AFG,2010,6,157.736,54.211,103.525
AFG,2010,7,166.148,55.118,111.03
AFG,2010,8,155.382,50.233,105.149
AFG,2010,9,147,49.414,97.586
AFG,2010,10,141.852,38.017,103.835
AFG,2010,11,137.236,39.396,97.84
AFG,2010,12,168.815,51.817,116.998
AGO,2010,1,192.764,59.693,133.071
AGO,2010,2,162.432,52.507,109.925
AGO,2010,3,171.847,51.73,120.117
AGO,2010,4,102.617,2.964,99.653
AGO,2010,5,94.233,3.683,90.55
AGO,2010,6,101.542,3.93,97.612
AGO,2010,7,110.27,4.25,106.02
AGO,2010,8,107.022,3.755,103.267
AGO,2010,9,101.998,4.312,97.686
AGO,2010,10,98.173,2.733,95.44
AGO,2010,11,90.665,3.06,87.605
AGO,2010,12,104.938,4.06,100.878
AIA,2010,1,6.598,NA,6.598
AIA,2010,2,6.756,NA,6.756
AIA,2010,3,6.982,NA,6.982
AIA,2010,4,5.58,NA,5.58
AIA,2010,5,6.235,NA,6.235
AIA,2010,6,6.609,NA,6.609
AIA,2010,7,7.426,NA,7.426
AIA,2010,8,6.869,NA,6.869
AIA,2010,9,5.673,NA,5.673
AIA,2010,10,5.337,NA,5.337
AIA,2010,11,5.917,NA,5.917
AIA,2010,12,8.629,NA,8.629
ALB,2010,1,212.782,NA,212.782
ALB,2010,2,173.884,NA,173.884
ALB,2010,3,206.28,NA,206.28
ALB,2010,4,197.535,NA,197.535
ALB,2010,5,218.442,NA,218.442
ALB,2010,6,250.275,NA,250.275
ALB,2010,7,283.63,NA,283.63
ALB,2010,8,291.949,NA,291.949
ALB,2010,9,235.028,NA,235.028
ALB,2010,10,196.317,NA,196.317
ALB,2010,11,112.115,NA,112.115
ALB,2010,12,128.122,NA,128.122
ARE,2010,1,5728.865,3.355,5725.51
ARE,2010,2,5063.562,3.123,5060.439
ARE,2010,3,5636.108,3.369,5632.739
ARE,2010,4,5009.368,3.318,5006.05
ARE,2010,5,5488.153,3.798,5484.355
ARE,2010,6,5710.619,3.675,5706.944
ARE,2010,7,5776.026,3.103,5772.923
ARE,2010,8,5299.977,2.963,5297.014
ARE,2010,9,4915.532,3.314,4912.218
ARE,2010,10,5159.604,3.62,5155.984
ARE,2010,11,5001.955,3.461,4998.494
ARE,2010,12,5893.839,3.586,5890.253
ARG,2010,1,1311.662,516.539,795.123
ARG,2010,2,1154.234,467.986,686.248
ARG,2010,3,1359.796,588.466,771.33
ARG,2010,4,1325.723,578.88,746.843
ARG,2010,5,1386.071,599.432,786.639
ARG,2010,6,1549.389,700.6,848.789
ARG,2010,7,1704.065,766.957,937.108
ARG,2010,8,1635.527,729.623,905.904
ARG,2010,9,1071.221,385.846,685.375
ARG,2010,10,793.552,177.106,616.446
ARG,2010,11,822.822,196.175,626.647
ARG,2010,12,971.416,243.368,728.048
ARM,2010,1,125.648,NA,125.648
ARM,2010,2,101.584,NA,101.584
ARM,2010,3,136.485,NA,136.485
ARM,2010,4,94.425,NA,94.425
ARM,2010,5,105.245,NA,105.245
ARM,2010,6,122.615,NA,122.615
ARM,2010,7,129.769,NA,129.769
ARM,2010,8,128.489,NA,128.489
ARM,2010,9,113.738,NA,113.738
ARM,2010,10,107.833,NA,107.833
ARM,2010,11,24.547,NA,24.547
ARM,2010,12,27.346,NA,27.346
ASM,2010,1,4.816,NA,4.816
ASM,2010,2,4.708,NA,4.708
ASM,2010,3,4.526,NA,4.526
ASM,2010,4,4.165,NA,4.165
ASM,2010,5,4.878,NA,4.878
ASM,2010,6,5.802,NA,5.802
ASM,2010,7,6.12,NA,6.12
ASM,2010,8,4.931,NA,4.931
ASM,2010,9,5.064,NA,5.064
ASM,2010,10,3.808,NA,3.808
ASM,2010,11,3.651,NA,3.651
ASM,2010,12,6.073,NA,6.073
ATG,2010,1,107.407,0.845,106.562
ATG,2010,2,98.253,0.923,97.33
ATG,2010,3,110.114,0.842,109.272
ATG,2010,4,88.044,0.935,87.109
ATG,2010,5,81.597,0.994,80.603
ATG,2010,6,85.631,1.002,84.629
ATG,2010,7,97.907,0.877,97.03
ATG,2010,8,88.226,0.722,87.504
ATG,2010,9,65.084,0.829,64.255
ATG,2010,10,68.486,0.704,67.782
ATG,2010,11,84.637,0.722,83.915
ATG,2010,12,112.083,0.841,111.242
AUS,2010,1,6129.855,3618.441,2511.414
AUS,2010,2,5382.076,3317.219,2064.857
AUS,2010,3,6074.69,3849.83,2224.86
AUS,2010,4,6157.54,4020.173,2137.367
AUS,2010,5,6092.817,3898.735,2194.082
AUS,2010,6,6436.523,4175.171,2261.352
AUS,2010,7,7446.494,4732.193,2714.301
AUS,2010,8,6871.97,4390.464,2481.506
AUS,2010,9,5990.534,3915.509,2075.025
AUS,2010,10,6249.312,4076.291,2173.021
AUS,2010,11,5469.506,3479.011,1990.495
AUS,2010,12,6150.039,3908.008,2242.031
AUT,2010,1,1814.013,67.199,1746.814
AUT,2010,2,1733.512,66.79,1666.722
AUT,2010,3,2106.108,82.346,2023.762
AUT,2010,4,2019.257,81.307,1937.95
AUT,2010,5,2306.179,82.873,2223.306
AUT,2010,6,2512.999,93.819,2419.18
AUT,2010,7,2604.831,95.518,2509.313
AUT,2010,8,2661.931,97.814,2564.117
AUT,2010,9,2486.678,98.507,2388.171
AUT,2010,10,2343.08,98.853,2244.227
AUT,2010,11,1774.289,82.794,1691.495
AUT,2010,12,1593.674,66.492,1527.182
AZE,2010,1,161.803,NA,161.803
AZE,2010,2,156.488,NA,156.488
AZE,2010,3,181.631,NA,181.631
AZE,2010,4,93.05,NA,93.05
AZE,2010,5,105.997,NA,105.997
AZE,2010,6,121.152,NA,121.152
AZE,2010,7,125.391,NA,125.391
AZE,2010,8,125.123,NA,125.123
AZE,2010,9,108.143,NA,108.143
AZE,2010,10,108.202,NA,108.202
AZE,2010,11,69.226,NA,69.226
AZE,2010,12,77.933,NA,77.933
